track_id,race_date,race_number,program_number,weight_carried,jockey,odds
AQU,2019-01-01,1,1  ,123,Dylan Davis,130
AQU,2019-01-01,1,2  ,120,Junior Alvarado,295
AQU,2019-01-01,1,3  ,118,Jose Lezcano,180
AQU,2019-01-01,1,4  ,123,Jomar Garcia,1280
AQU,2019-01-01,1,5  ,118,Manuel Franco,1150
AQU,2019-01-01,2,1  ,121,Jose Lezcano,220
AQU,2019-01-01,2,2  ,114,Benjamin Hernandez,940
AQU,2019-01-01,2,3  ,121,Dylan Davis,165
AQU,2019-01-01,2,4  ,123,Jomar Garcia,1760
AQU,2019-01-01,2,5  ,121,Andre Shivnarine Worrie,800
AQU,2019-01-01,2,6  ,116,Reylu Gutierrez,340
AQU,2019-01-01,2,7  ,121,Eric Cancel,3975
AQU,2019-01-01,3,1  ,120,Junior Alvarado,75
AQU,2019-01-01,3,2  ,120,Eric Cancel,5850
AQU,2019-01-01,3,3  ,113,Benjamin Hernandez,315
AQU,2019-01-01,3,4  ,120,Manuel Franco,980
AQU,2019-01-01,3,5  ,120,Jose Lezcano,1060
AQU,2019-01-01,3,6  ,115,Reylu Gutierrez,790
AQU,2019-01-01,3,7  ,120,Rajiv Maragh,2550
AQU,2019-01-01,3,8  ,120,Andre Shivnarine Worrie,2550
AQU,2019-01-01,4,1  ,118,Dylan Davis,200
AQU,2019-01-01,4,1A ,124,Luis R. Reyes,200
AQU,2019-01-01,4,3  ,122,Junior Alvarado,395
AQU,2019-01-01,4,4  ,122,Eric Cancel,500
AQU,2019-01-01,4,5  ,122,Manuel Franco,365
AQU,2019-01-01,4,6  ,124,John R. Velazquez,255
AQU,2019-01-01,5,1  ,118,Reylu Gutierrez,100
AQU,2019-01-01,5,2  ,121,Jose Lezcano,5800
AQU,2019-01-01,5,3  ,121,Dylan Davis,1080
AQU,2019-01-01,5,5  ,123,Andre Shivnarine Worrie,1010
AQU,2019-01-01,5,6  ,123,Rajiv Maragh,305
AQU,2019-01-01,5,7  ,123,Junior Alvarado,380
AQU,2019-01-01,5,8  ,121,Manuel Franco,1670
AQU,2019-01-01,6,10 ,120,Eric Cancel,780
AQU,2019-01-01,6,2  ,120,Junior Alvarado,640
AQU,2019-01-01,6,5  ,120,Jose Lezcano,560
AQU,2019-01-01,6,6  ,115,Reylu Gutierrez,105
AQU,2019-01-01,6,7  ,120,Andre Shivnarine Worrie,590
AQU,2019-01-01,6,8  ,120,Rajiv Maragh,1590
AQU,2019-01-01,6,9  ,120,Manuel Franco,850
AQU,2019-01-01,7,1  ,121,Rajiv Maragh,950
AQU,2019-01-01,7,2  ,123,Frankie Pennington,590
AQU,2019-01-01,7,3  ,121,Luis R. Reyes,270
AQU,2019-01-01,7,5  ,116,Reylu Gutierrez,710
AQU,2019-01-01,7,6  ,119,Manuel Franco,360
AQU,2019-01-01,7,7  ,119,Dylan Davis,1990
AQU,2019-01-01,7,9  ,121,Junior Alvarado,235
AQU,2019-01-01,8,1  ,118,Jose Lezcano,540
AQU,2019-01-01,8,2  ,118,Dylan Davis,420
AQU,2019-01-01,8,3  ,123,John R. Velazquez,150
AQU,2019-01-01,8,4  ,120,Jorge A. Vargas Jr.,900
AQU,2019-01-01,8,5  ,118,Frankie Pennington,1400
AQU,2019-01-01,8,6  ,118,Junior Alvarado,245
AQU,2019-01-01,9,1  ,120,Harry Hernandez,5100
AQU,2019-01-01,9,10 ,120,Luis R. Reyes,2370
AQU,2019-01-01,9,11 ,120,Rajiv Maragh,3000
AQU,2019-01-01,9,3  ,113,Benjamin Hernandez,110
AQU,2019-01-01,9,4  ,122,Joel Sone,335
AQU,2019-01-01,9,6  ,120,Andre Shivnarine Worrie,2090
AQU,2019-01-01,9,7  ,124,Manuel Franco,395
AQU,2019-01-01,9,8  ,115,Reylu Gutierrez,850
AQU,2019-01-01,9,9  ,113,Joey R. Martinez,1960
AQU,2019-01-04,1,1  ,115,Reylu Gutierrez,2625
AQU,2019-01-04,1,2  ,120,Manuel Franco,410
AQU,2019-01-04,1,3  ,120,Rajiv Maragh,345
AQU,2019-01-04,1,4  ,120,Junior Alvarado,1900
AQU,2019-01-04,1,5  ,120,Eric Cancel,55
AQU,2019-01-04,1,6  ,120,Jose Lezcano,1900
AQU,2019-01-04,2,1  ,120,Eric Cancel,1660
AQU,2019-01-04,2,2  ,120,Luis R. Reyes,165
AQU,2019-01-04,2,3  ,120,Dylan Davis,840
AQU,2019-01-04,2,4  ,120,Manuel Franco,190
AQU,2019-01-04,2,5  ,115,Reylu Gutierrez,750
AQU,2019-01-04,2,6  ,120,Junior Alvarado,410
AQU,2019-01-04,3,1  ,111,Julio Correa,5175
AQU,2019-01-04,3,2  ,123,Manuel Franco,880
AQU,2019-01-04,3,3  ,123,Harry Hernandez,385
AQU,2019-01-04,3,4  ,121,Jose Lezcano,150
AQU,2019-01-04,3,5  ,116,Benjamin Hernandez,520
AQU,2019-01-04,3,7  ,123,Junior Alvarado,220
AQU,2019-01-04,4,1  ,120,Manuel Franco,180
AQU,2019-01-04,4,2  ,120,Luis R. Reyes,195
AQU,2019-01-04,4,3  ,120,Michael J. Luzzi,1310
AQU,2019-01-04,4,4  ,120,Hector Rafael Diaz Jr.,400
AQU,2019-01-04,4,5  ,115,Reylu Gutierrez,930
AQU,2019-01-04,4,6  ,120,Pablo Fragoso,3475
AQU,2019-01-04,4,7  ,120,Eric Cancel,860
